 0 0 0  154.855438  0.934711516
 0 0 1  141.009521  4.15661287
 0 0 2  146.693817  4.01890898
 0 0 3  196.935425  4.6348238
 0 0 4  332.091492  6.22490215
 0 0 5  184.286697  4.62745523
 0 0 6  154.594284  4.08351994
 0 0 7  150.684998  3.92733788
 0 0 8  161.834213  4.31395292
 0 0 9  143.106384  3.95094395
 0 0 10  121.097771  3.42147899
 0 0 11  141.095444  4.04060793
 0 0 12  130.843201  3.87097502
 0 0 13  128.505585  3.94853401
 0 0 14  129.871857  4.21169186
 0 0 15  126.379761  3.81222892
 0 0 16  129.760803  3.73305893
 0 0 17  150.962494  4.06992388
 0 0 18  146.874619  3.98799491
 0 0 19  141.503708  3.9847939
 0 0 20  143.475204  4.1824522
 0 1 0  131.805161  1.04577005
 0 1 1  129.113358  4.6451869
 0 1 2  129.216705  4.52750492
 0 1 3  145.231705  4.89353514
 0 1 4  159.757782  5.10404682
 0 1 5  137.234833  4.74632597
 0 1 6  134.500916  4.61584902
 0 1 7  125.310028  4.46013212
 0 1 8  116.878197  4.3576622
 0 1 9  136.469025  4.73306513
 0 1 10  127.008835  4.64584494
 0 1 11  126.367256  4.59379101
 0 1 12  123.90863  4.51836586
 0 1 13  133.149933  4.80494404
 0 1 14  125.596725  4.75099611
 0 1 15  122.632721  4.38562489
 0 1 16  130.087982  4.54762411
 0 1 17  124.704872  4.5194478
 0 1 18  145.49646  5.2314539
 0 1 19  133.826965  4.76891613
 0 1 20  131.345078  4.74269295
 0 2 0  100.812599  0.804853916
 0 2 1  99.3537369  3.568892
 0 2 2  100.794601  3.53284907
 0 2 3  102.694099  3.59942794
 0 2 4  98.5207367  3.52760911
 0 2 5  105.531799  3.649894
 0 2 6  108.060997  3.70210791
 0 2 7  98.1839218  3.51329708
 0 2 8  100.680603  3.59803104
 0 2 9  96.9586105  3.45400691
 0 2 10  98.0304108  3.59155607
 0 2 11  95.9458313  3.49878502
 0 2 12  101.5886  3.53044891
 0 2 13  101.274696  3.68576407
 0 2 14  94.4785309  3.71433401
 0 2 15  96.2398529  3.49789691
 0 2 16  109.966904  3.73682499
 0 2 17  111.656799  3.75542593
 0 2 18  105.9767  3.758605
 0 2 19  97.8164902  3.64287591
 0 2 20  91.5708237  3.42216301
 0 3 0  180.013199  1.09398699
 0 3 1  188.293198  4.96541023
 0 3 2  192.084305  4.86016798
 0 3 3  194.190308  5.07524395
 0 3 4  208.826004  5.37398005
 0 3 5  178.931595  4.84484577
 0 3 6  189.220993  4.83911085
 0 3 7  180.961105  4.7837162
 0 3 8  164.951599  4.59441185
 0 3 9  180.428894  4.79653788
 0 3 10  174.774704  4.70818901
 0 3 11  154.997894  4.50644016
