
 BACKGROUNDS 
-----------------------------------------------------------------
2b2n_ca48                 A = 4.00e-05  Eff = 6.10e-05  Nexp = 2.57e-01  +/- 2.59e-02 
sscinpb214_p1             A = 3.80e-01  Eff = 7.49e-09  Nexp = 3.00e-01  +/- 1.08e-01 
sscinbi210_p1             A = 3.04e+01  Eff = 7.06e-09  Nexp = 2.26e+01  +/- 4.85e+00 
sscineu152_p1             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swiretl208_p1             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swirebi214_p1             A = 1.20e+03  Eff = 6.49e-09  Nexp = 8.22e+02  +/- 2.26e+01 
swirek40_p1               A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swirepb214_p1             A = 1.20e+03  Eff = 4.65e-10  Nexp = 5.89e+01  +/- 2.91e+00 
swirepb211_p1             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
swiretl207_p1             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
wiresco60_p1              A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
exbg11bi212_p2            A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
exbg11tl208_p2            A = 2.70e+01  Eff = 3.35e-08  Nexp = 9.52e+01  +/- 4.19e+00 
exbg11ac228_p2            A = 7.27e+01  Eff = 6.25e-09  Nexp = 4.79e+01  +/- 3.20e+00 
exbg11bi214_p2            A = 3.24e+02  Eff = 1.29e-08  Nexp = 4.41e+02  +/- 1.52e+01 
exbg11k40_p2              A = 1.08e+03  Eff = 2.40e-09  Nexp = 2.73e+02  +/- 1.01e+01 
exbg17co60_p2             A = 4.76e+01  Eff = 1.23e-08  Nexp = 6.16e+01  +/- 7.02e+00 
exbg2tl208_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
exbg2bi214_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
exbg2pb214_p2             A = 0.00e+00  Eff = -nan      Nexp = 0.00e+00  +/- 0.00e+00 
exbg4tl208_p2             A = 4.84e+02  Eff = 2.74e-09  Nexp = 1.40e+02  +/- 1.35e+01 
exbg4ac228_p2             A = 1.35e+03  Eff = 1.69e-10  Nexp = 2.40e+01  +/- 3.43e+00 
exbg4bi214_p2             A = 7.36e+03  Eff = 4.93e-10  Nexp = 3.83e+02  +/- 1.51e+01 
exbg6co60_p2              A = 1.84e+01  Eff = 2.00e-08  Nexp = 3.88e+01  +/- 3.15e+00 
