
 BACKGROUNDS 
==================================================================
exbg4bi214_p1             A = 7.36e+03  Eff = 7.97e-13  Nexp = 6.19e-01 +/- 6.19e-01 
exbg6co60_p1              A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
exbg7co60_p1              A = 6.09e+00  Eff = 2.54e-10  Nexp = 1.63e-01 +/- 1.15e-01 
exbg7pa234m_p1            A = 1.51e+03  Eff = 7.85e-12  Nexp = 1.25e+00 +/- 1.25e+00 
exbg7tl208_p1             A = 3.07e+00  Eff = 0.00e+00  Nexp = 0.00e+00 +/- 1.24e-01 
exbg7ac228_p1             A = 8.54e+00  Eff = 1.45e-10  Nexp = 1.31e-01 +/- 1.31e-01 
exbg7bi214_p1             A = 9.12e+00  Eff = 1.23e-10  Nexp = 1.18e-01 +/- 1.18e-01 
exbg7k40_p1               A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
scink40_p1                A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sfoilbi214_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sfoilpb214_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscinbi214_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscinpb214_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscinbi210_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
sscineu152_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swiretl208_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swirebi214_p1             A = 1.20e+03  Eff = 2.89e-11  Nexp = 3.66e+00 +/- 1.71e+00 
swirek40_p1               A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swirepb214_p1             A = 1.20e+03  Eff = 3.43e-11  Nexp = 4.34e+00 +/- 7.89e-01 
swirepb211_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
swiretl207_p1             A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
wiresco60_p1              A = 0.00e+00  Eff = nan       Nexp = 0.00e+00 +/- 0.00e+00 
