exbg2bi214   0 0 0                 
exbg2pb214   0 0 0               
exbg2tl208   0 0 0         
exbg11k40    1078.4 1078.4 1078.4
exbg11bi214  324.38 324.38 324.38 
exbg11tl208  26.958 26.958 26.958 
exbg11ac228  72.708 72.708 72.708
exbg7k40     100.26 100.26 100.26
exbg7bi214   9.116  9.116  9.116 
exbg7tl208   3.073  3.073  3.073 
exbg7ac228   8.543  8.543  8.543 
exbg7co60    6.09   6.09   6.09  
exbg7pa234m  1509.7 1509.7 1509.7
exbg4bi214   7359.34 7359.34 7359.34
exbg4tl208   484.10 484.10 484.10 
exbg4ac228   1345.8 1345.8 1345.8
exbg6co60    18.42 18.42 18.42   
exbg17co60   47.642 47.642 47.642 
exbg9co60    0 0 0               
exbg8co60    14.583 14.583 14.583
exbg8pa234m  4265.1 4985.8 1016.6 
scik40       7.5894 12.53 1.393  
ssbi210      28.602 34.633 27.852
ssbi214      0.291 0.431 0.418   
sspb214      0.291 0.431 0.418   

 




