 0 0 0  771.076477  2.32591891
 0 0 1  754.390808  10.6357803
 0 0 2  731.915222  10.01966
 0 0 3  897.135315  11.1036997
 0 0 4  1071.198  12.5015097
 0 0 5  789.438477  10.6564198
 0 0 6  745.692017  10.0086098
 0 0 7  760.373413  9.98333168
 0 0 8  793.807312  10.6697998
 0 0 9  749.563477  10.2059402
 0 0 10  663.312683  9.18261337
 0 0 11  786.106506  10.8513699
 0 0 12  756.866821  10.4817495
 0 0 13  724.8255  10.3231001
 0 0 14  720.845825  10.2841597
 0 0 15  728.971802  10.0550203
 0 0 16  722.491882  9.83095837
 0 0 17  780.80658  10.3812704
 0 0 18  779.686584  10.2947397
 0 0 19  760.235901  10.2510204
 0 0 20  722.445129  10.4027004
 0 1 0  772.681885  2.86778998
 0 1 1  797.244019  13.3300505
 0 1 2  752.393677  12.4197302
 0 1 3  800.531616  12.9983196
 0 1 4  810.02478  12.9376497
 0 1 5  770.903015  12.7461205
 0 1 6  769.994385  12.4663801
 0 1 7  715.084229  12.09058
 0 1 8  765.095398  12.8068504
 0 1 9  791.525574  13.0408297
 0 1 10  768.400024  13.0613003
 0 1 11  764.243591  12.87218
 0 1 12  758.171692  12.65907
 0 1 13  781.364624  12.8559799
 0 1 14  732.053284  12.3125496
 0 1 15  738.971985  12.1486301
 0 1 16  766.290527  12.4275999
 0 1 17  780.634399  12.8404903
 0 1 18  863.903992  14.6172705
 0 1 19  769.414124  13.0446596
 0 1 20  776.762817  13.2456198
 0 2 0  601.557983  2.25988412
 0 2 1  621.219116  10.5155497
 0 2 2  618.085388  10.1067801
 0 2 3  615.356323  10.1136599
 0 2 4  583.639221  9.86389446
 0 2 5  600.498108  9.97923756
 0 2 6  626.777588  10.28195
 0 2 7  557.50177  9.62929058
 0 2 8  591.160217  10.0239801
 0 2 9  593.944824  9.90458298
 0 2 10  583.211304  10.2301998
 0 2 11  578.841797  9.9934082
 0 2 12  586.241028  9.74230862
 0 2 13  593.56427  10.0503101
 0 2 14  559.608093  9.72974014
 0 2 15  620.232788  10.1418896
 0 2 16  654.367981  10.4903898
 0 2 17  647.713379  10.4185696
 0 2 18  633.203308  10.7168798
 0 2 19  601.622375  10.37743
 0 2 20  565.415527  9.85607147
 0 3 0  1065.71399  3.06083012
 0 3 1  1131.51794  14.2051497
 0 3 2  1099.78894  13.4390697
 0 3 3  1170.97498  14.31322
 0 3 4  1210.01099  14.7540302
 0 3 5  1021.63098  13.2724199
 0 3 6  1033.92505  13.0792704
 0 3 7  1022.91101  13.1391001
 0 3 8  1001.47498  13.0160503
 0 3 9  983.705017  12.9614496
 0 3 10  1043.07202  13.4637604
 0 3 11  1038.18396  13.5435801
 0 3 12  1011.92999  13.1187296
