exbg2bi214   566.48 566.48 566.48
exbg2pb214   566.48 566.48 566.48
exbg2tl208   11.5 11.5 11.5
exbg11k40    1078.4 1078.4 1078.4
exbg11bi214  324.38 324.38 324.38 
exbg11tl208  26.958 26.958 26.958 
exbg11ac228  72.708 72.708 72.708
exbg7k40     100.26 100.26 100.26
exbg7bi214   9.116  9.116  9.116 
exbg7tl208   3.073  3.073  3.073 
exbg7ac228   8.543  8.543  8.543 
exbg7co60    6.09   6.09   6.09  
exbg7pa234m  1509.7 1509.7 1509.7
exbg4bi214   7359.34 7359.34 7359.34
exbg4tl208   484.10 484.10 484.10 
exbg4ac228   1345.8 1345.8 1345.8
exbg6co60    29.433 29.433 29.433
exbg17co60   76.127 76.127 76.127
exbg8co60    23.30 23.30 23.30   
exbg8pa234m  4265.1 4985.8 1016.6 
scik40       7.5894 12.53 1.393  
ssbi210      28.602 34.633 27.852
ssbi214      0.291 0.431 0.418   
sspb214      0.291 0.431 0.418   

 




